Num,Order,Family,ACE2,ACE2conservation
5,RODENTIA,ABROCOMIDAE,NO DATA,N
52,DIPROTODONTIA,ACROBATIDAE,NO DATA,N
79,CARNIVORA,AILURIDAE,VERY LOW,VL
192,RODENTIA,ANOMALURIDAE,NO DATA,N
226,ARTIODACTYLA,ANTILOCAPRIDAE,MEDIUM,M
238,PRIMATES,AOTIDAE,MEDIUM,M
243,RODENTIA,APLODONTIIDAE,NO DATA,N
288,PRIMATES,Archaeolemuridae,NO DATA,N
154,PRIMATES,ATELIDAE,MEDIUM,M
377,ARTIODACTYLA,BALAENIDAE,LOW,L
378,ARTIODACTYLA,BALAENOPTERIDAE,HIGH,H
1743,RODENTIA,BATHYERGIDAE,MEDIUM,M
455,ARTIODACTYLA,BOVIDAE,MEDIUM,M
467,PILOSA,BRADYPODIDAE,NO DATA,N
497,DIPROTODONTIA,BURRAMYIDAE,NO DATA,N
506,PAUCITUBERCULATA,CAENOLESTIDAE,NO DATA,N
553,PRIMATES,CALLITRICHIDAE,MEDIUM,M
589,RODENTIA,CALOMYSCIDAE,NO DATA,N
603,ARTIODACTYLA,CAMELIDAE,MEDIUM_LOW,L_M
610,CARNIVORA,CANIDAE,LOW,L
636,RODENTIA,CAPROMYIDAE,NO DATA,N
658,RODENTIA,CASTORIDAE,NO DATA,N
668,RODENTIA,CAVIIDAE,VERY LOW,VL_L
671,PRIMATES,CEBIDAE,MEDIUM,M
702,PRIMATES,CERCOPITHECIDAE,VERY HIGH,H_VH
3816,ARTIODACTYLA,CERVIDAE,HIGH,H
757,PERAMELEMORPHIA,CHAEROPODIDAE,NO DATA,N
790,PRIMATES,CHEIROGALEIDAE,MEDIUM,L_M
810,RODENTIA,CHINCHILLIDAE,LOW,L
870,AFROSORICIDA,CHRYSOCHLORIDAE,VERY LOW,VL
930,CHIROPTERA,CRASEONYCTERIDAE,NO DATA,N
947,RODENTIA,CRICETIDAE,HIGH,L_M_H
1205,RODENTIA,CTENODACTYLIDAE,HIGH,H
1260,RODENTIA,CTENOMYIDAE,VERY LOW,VL
1272,RODENTIA,CUNICULIDAE,NO DATA,N
1277,PILOSA,CYCLOPEDIDAE,NO DATA,N
1788,DERMOPTERA,CYNOCEPHALIDAE,LOW,L
1333,CINGULATA,DASYPODIDAE,VERY LOW,VL
1329,RODENTIA,DASYPROCTIDAE,LOW,L
5039,DASYUROMORPHIA,DASYURIDAE,VERY LOW,VL
1345,PRIMATES,DAUBENTONIIDAE,MEDIUM,M
1922,ARTIODACTYLA,DELPHINIDAE,HIGH,H
2370,RODENTIA,DIATOMYIDAE,NO DATA,N
3134,DIDELPHIMORPHIA,DIDELPHIDAE,VERY LOW,VL
1433,RODENTIA,DINOMYIDAE,NO DATA,N
129,RODENTIA,DIPODIDAE,MEDIUM,VL_M
1499,SIRENIA,DUGONGIDAE,NO DATA,N
445,RODENTIA,ECHIMYIDAE,NO DATA,N
2595,PROBOSCIDEA,ELEPHANTIDAE,LOW,L
385,CHIROPTERA,EMBALLONURIDAE,NO DATA,N
1636,PERISSODACTYLA,EQUIDAE,LOW,L
776,RODENTIA,ERETHIZONTIDAE,NO DATA,N
