Num,Order,Family,Genus,Species,SciName,tiplabel,"CovidInfection (Y - yes, N - No, U - unknown, E - experimental)",ACE2conservation
28,CARNIVORA,FELIDAE,Acinonyx,jubatus,Acinonyx_jubatus,Acinonyx_jubatus_FELIDAE_CARNIVORA,,MEDIUM
637,CARNIVORA,FELIDAE,Caracal,aurata,Caracal_aurata,Caracal_aurata_FELIDAE_CARNIVORA,,
638,CARNIVORA,FELIDAE,Caracal,caracal,Caracal_caracal,Caracal_caracal_FELIDAE_CARNIVORA,,
660,CARNIVORA,FELIDAE,Catopuma,badia,Catopuma_badia,Catopuma_badia_FELIDAE_CARNIVORA,,
661,CARNIVORA,FELIDAE,Catopuma,temminckii,Catopuma_temminckii,Catopuma_temminckii_FELIDAE_CARNIVORA,,
1730,CARNIVORA,FELIDAE,Felis,bieti,Felis_bieti,Felis_bieti_FELIDAE_CARNIVORA,,
1731,CARNIVORA,FELIDAE,Felis,catus,Felis_catus,Felis_catus_FELIDAE_CARNIVORA,Y,MEDIUM
1732,CARNIVORA,FELIDAE,Felis,chaus,Felis_chaus,Felis_chaus_FELIDAE_CARNIVORA,,
1733,CARNIVORA,FELIDAE,Felis,margarita,Felis_margarita,Felis_margarita_FELIDAE_CARNIVORA,,
1734,CARNIVORA,FELIDAE,Felis,nigripes,Felis_nigripes,Felis_nigripes_FELIDAE_CARNIVORA,,
1735,CARNIVORA,FELIDAE,Felis,silvestris,Felis_silvestris,Felis_silvestris_FELIDAE_CARNIVORA,,
2032,CARNIVORA,FELIDAE,Herpailurus,yagouaroundi,Herpailurus_yagouaroundi,Herpailurus_yagouaroundi_FELIDAE_CARNIVORA,,
2166,CARNIVORA,FELIDAE,Homotherium,serum,Homotherium_serum,Homotherium_serum_FELIDAE_CARNIVORA,,
2435,CARNIVORA,FELIDAE,Leopardus,colocolo,Leopardus_colocolo,Leopardus_colocolo_FELIDAE_CARNIVORA,,
2436,CARNIVORA,FELIDAE,Leopardus,geoffroyi,Leopardus_geoffroyi,Leopardus_geoffroyi_FELIDAE_CARNIVORA,,
2437,CARNIVORA,FELIDAE,Leopardus,guigna,Leopardus_guigna,Leopardus_guigna_FELIDAE_CARNIVORA,,
2438,CARNIVORA,FELIDAE,Leopardus,jacobita,Leopardus_jacobita,Leopardus_jacobita_FELIDAE_CARNIVORA,,
2439,CARNIVORA,FELIDAE,Leopardus,pardalis,Leopardus_pardalis,Leopardus_pardalis_FELIDAE_CARNIVORA,,
2440,CARNIVORA,FELIDAE,Leopardus,tigrinus,Leopardus_tigrinus,Leopardus_tigrinus_FELIDAE_CARNIVORA,,
2441,CARNIVORA,FELIDAE,Leopardus,wiedii,Leopardus_wiedii,Leopardus_wiedii_FELIDAE_CARNIVORA,,
2476,CARNIVORA,FELIDAE,Leptailurus,serval,Leptailurus_serval,Leptailurus_serval_FELIDAE_CARNIVORA,,
2607,CARNIVORA,FELIDAE,Lynx,canadensis,Lynx_canadensis,Lynx_canadensis_FELIDAE_CARNIVORA,Y,MEDIUM
2608,CARNIVORA,FELIDAE,Lynx,lynx,Lynx_lynx,Lynx_lynx_FELIDAE_CARNIVORA,Y,
2609,CARNIVORA,FELIDAE,Lynx,pardinus,Lynx_pardinus,Lynx_pardinus_FELIDAE_CARNIVORA,,
2610,CARNIVORA,FELIDAE,Lynx,rufus,Lynx_rufus,Lynx_rufus_FELIDAE_CARNIVORA,,
3099,CARNIVORA,FELIDAE,Miracinonyx,trumani,Miracinonyx_trumani,Miracinonyx_trumani_FELIDAE_CARNIVORA,,
3563,CARNIVORA,FELIDAE,Neofelis,diardi,Neofelis_diardi,Neofelis_diardi_FELIDAE_CARNIVORA,,MEDIUM
3564,CARNIVORA,FELIDAE,Neofelis,nebulosa,Neofelis_nebulosa,Neofelis_nebulosa_FELIDAE_CARNIVORA,,MEDIUM
3903,CARNIVORA,FELIDAE,Otocolobus,manul,Otocolobus_manul,Otocolobus_manul_FELIDAE_CARNIVORA,,
3980,CARNIVORA,FELIDAE,Panthera,leo,Panthera_leo,Panthera_leo_FELIDAE_CARNIVORA,Y,
3981,CARNIVORA,FELIDAE,Panthera,onca,Panthera_onca,Panthera_onca_FELIDAE_CARNIVORA,,MEDIUM
3982,CARNIVORA,FELIDAE,Panthera,pardus,Panthera_pardus,Panthera_pardus_FELIDAE_CARNIVORA,Y,MEDIUM
3983,CARNIVORA,FELIDAE,Panthera,tigris,Panthera_tigris,Panthera_tigris_FELIDAE_CARNIVORA,Y,MEDIUM
3984,CARNIVORA,FELIDAE,Panthera,uncia,Panthera_uncia,Panthera_uncia_FELIDAE_CARNIVORA,Y,
4041,CARNIVORA,FELIDAE,Pardofelis,marmorata,Pardofelis_marmorata,Pardofelis_marmorata_FELIDAE_CARNIVORA,,
4468,CARNIVORA,FELIDAE,Prionailurus,bengalensis,Prionailurus_bengalensis,Prionailurus_bengalensis_FELIDAE_CARNIVORA,,
4469,CARNIVORA,FELIDAE,Prionailurus,planiceps,Prionailurus_planiceps,Prionailurus_planiceps_FELIDAE_CARNIVORA,,
4470,CARNIVORA,FELIDAE,Prionailurus,rubiginosus,Prionailurus_rubiginosus,Prionailurus_rubiginosus_FELIDAE_CARNIVORA,,
4471,CARNIVORA,FELIDAE,Prionailurus,viverrinus,Prionailurus_viverrinus,Prionailurus_viverrinus_FELIDAE_CARNIVORA,Y,
4696,CARNIVORA,FELIDAE,Puma,concolor,Puma_concolor,Puma_concolor_FELIDAE_CARNIVORA,Y,MEDIUM
5164,CARNIVORA,FELIDAE,Smilodon,populator,Smilodon_populator,Smilodon_populator_FELIDAE_CARNIVORA,,
