Num,Order,Family,CovidInfection
5,RODENTIA,ABROCOMIDAE,N
52,DIPROTODONTIA,ACROBATIDAE,N
79,CARNIVORA,AILURIDAE,N
192,RODENTIA,ANOMALURIDAE,N
226,ARTIODACTYLA,ANTILOCAPRIDAE,N
238,PRIMATES,AOTIDAE,N
243,RODENTIA,APLODONTIIDAE,N
288,PRIMATES,Archaeolemuridae,N
154,PRIMATES,ATELIDAE,N
377,ARTIODACTYLA,BALAENIDAE,N
378,ARTIODACTYLA,BALAENOPTERIDAE,N
1743,RODENTIA,BATHYERGIDAE,N
455,ARTIODACTYLA,BOVIDAE,E
467,PILOSA,BRADYPODIDAE,N
497,DIPROTODONTIA,BURRAMYIDAE,N
506,PAUCITUBERCULATA,CAENOLESTIDAE,N
553,PRIMATES,CALLITRICHIDAE,E
589,RODENTIA,CALOMYSCIDAE,N
603,ARTIODACTYLA,CAMELIDAE,N
609,CARNIVORA,CANIDAE,Y_E
636,RODENTIA,CAPROMYIDAE,N
658,RODENTIA,CASTORIDAE,Y
668,RODENTIA,CAVIIDAE,N
671,PRIMATES,CEBIDAE,N
840,PRIMATES,CERCOPITHECIDAE,E
3816,ARTIODACTYLA,CERVIDAE,Y
757,PERAMELEMORPHIA,CHAEROPODIDAE,N
790,PRIMATES,CHEIROGALEIDAE,N
810,RODENTIA,CHINCHILLIDAE,N
870,AFROSORICIDA,CHRYSOCHLORIDAE,N
930,CHIROPTERA,CRASEONYCTERIDAE,N
947,RODENTIA,CRICETIDAE,Y_E
1205,RODENTIA,CTENODACTYLIDAE,N
1260,RODENTIA,CTENOMYIDAE,N
1272,RODENTIA,CUNICULIDAE,N
1277,PILOSA,CYCLOPEDIDAE,N
1788,DERMOPTERA,CYNOCEPHALIDAE,N
1333,CINGULATA,DASYPODIDAE,N
1329,RODENTIA,DASYPROCTIDAE,N
5039,DASYUROMORPHIA,DASYURIDAE,N
1345,PRIMATES,DAUBENTONIIDAE,N
1922,ARTIODACTYLA,DELPHINIDAE,N
2370,RODENTIA,DIATOMYIDAE,N
3134,DIDELPHIMORPHIA,DIDELPHIDAE,N
1433,RODENTIA,DINOMYIDAE,N
129,RODENTIA,DIPODIDAE,N
1499,SIRENIA,DUGONGIDAE,N
445,RODENTIA,ECHIMYIDAE,N
2595,PROBOSCIDEA,ELEPHANTIDAE,N
385,CHIROPTERA,EMBALLONURIDAE,N
